event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685575092463,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341179,1868.85000000,1869.08000000,1869.08000000,1868.85000000,5.94730000,42,False,11114.70379200,5.62720000,10516.48260700,0
kline,1685575095464,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341181,1868.85000000,1869.08000000,1869.08000000,1868.85000000,6.00060000,44,False,11214.32575600,5.62720000,10516.48260700,0
kline,1685575098433,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341186,1868.85000000,1869.09000000,1869.09000000,1868.85000000,6.59840000,49,False,12331.66775800,5.80660000,10851.79735300,0
kline,1685575101036,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341191,1868.85000000,1869.10000000,1869.10000000,1868.85000000,7.03820000,54,False,13153.69732100,6.18470000,11558.50406300,0
kline,1685575103192,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341194,1868.85000000,1869.09000000,1869.10000000,1868.85000000,7.06020000,57,False,13194.81730100,6.18470000,11558.50406300,0
kline,1685575108475,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341195,1868.85000000,1869.10000000,1869.10000000,1868.85000000,7.07420000,58,False,13220.98470100,6.19870000,11584.67146300,0
kline,1685575111175,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341197,1868.85000000,1869.10000000,1869.10000000,1868.85000000,7.10370000,60,False,13276.12308600,6.22170000,11627.66076300,0
kline,1685575113465,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341208,1868.85000000,1869.19000000,1869.20000000,1868.85000000,7.36690000,71,False,13768.08450900,6.47730000,12105.41634200,0
kline,1685575116602,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341211,1868.85000000,1869.20000000,1869.20000000,1868.85000000,8.07700000,74,False,15095.39647500,6.49200000,12132.89358200,0
kline,1685575119465,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341212,1868.85000000,1869.19000000,1869.20000000,1868.85000000,8.08470000,75,False,15109.78923800,6.49200000,12132.89358200,0
kline,1685575121862,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341216,1868.85000000,1869.20000000,1869.20000000,1868.85000000,8.55240000,79,False,15984.01366300,6.91820000,12929.54662200,0
kline,1685575124465,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341231,1868.85000000,1869.39000000,1869.39000000,1868.85000000,11.46830000,94,False,21434.82415300,8.08530000,15111.16788000,0
kline,1685575126690,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341236,1868.85000000,1869.40000000,1869.40000000,1868.85000000,13.94280000,99,False,26060.63445800,8.56030000,15999.13288000,0
kline,1685575128985,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341245,1868.85000000,1869.57000000,1869.57000000,1868.85000000,16.99570000,108,False,31767.74791600,11.59820000,21678.20399400,0
kline,1685575137473,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341246,1868.85000000,1869.57000000,1869.57000000,1868.85000000,17.53070000,109,False,32767.96786600,11.59820000,21678.20399400,0
kline,1685575139802,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341255,1868.85000000,1869.58000000,1869.58000000,1868.85000000,19.84420000,118,False,37093.23755500,13.54760000,25322.76324600,0
kline,1685575140003,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341273,1868.85000000,1869.57000000,1869.58000000,1868.85000000,20.42520000,136,True,38179.45934000,13.70910000,25624.70041600,0
kline,1685575142467,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341286,1869.58000000,1869.57000000,1869.58000000,1869.57000000,0.50810000,13,False,949.93230500,0.37880000,708.19690400,0
kline,1685575146272,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341287,1869.58000000,1869.57000000,1869.58000000,1869.57000000,0.54270000,14,False,1014.61942700,0.37880000,708.19690400,0
kline,1685575149467,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341289,1869.58000000,1869.57000000,1869.58000000,1869.57000000,0.55520000,16,False,1037.98910500,0.38410000,718.10567800,0
